nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -3.447276499E-03 -1.433119057E-03  2.059379461E-03  5.659193366E-03  2.480709201E-05 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -7.297595118E-03 -1.344605817E-02 -7.548291254E-03  2.255608658E-02  5.722553533E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01  3.776080230E-04 -8.972227779E-04 -5.546803292E-04  1.314237972E-03  5.685248857E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -3.387771516E-04 -1.884534905E-04  9.414156101E-05  4.580090986E-04  1.936024873E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -1.017660190E-03 -2.183272656E-04  7.093645077E-04  4.991180923E-03  6.304674139E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -1.721904029E-04 -2.390302323E-04 -5.521882096E-05  3.110572542E-04 -6.270972419E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -1.027480684E-05 -1.464262684E-03 -5.508066501E-04  3.879832336E-03  5.281645071E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -2.372069314E-02 -5.520401543E-02 -3.724855983E-02  8.525347230E-02  9.930665087E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -2.257559803E-04 -7.607223335E-05  9.861516383E-05  9.256180592E-04  6.103802688E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -1.324781831E-04 -2.501087408E-04 -6.540776118E-05  3.688334067E-04  6.794502073E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -1.433472012E-04 -9.042293615E-05  6.296670305E-06  1.708596281E-04 -1.886271554E-06 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01  3.463835547E-06 -6.235694835E-05 -4.735115717E-05  2.826889303E-04  5.227094547E-04 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  4.519686607E-04  2.735449046E-04 -1.395275057E-04  7.927824142E-04  1.167226020E-03 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  1.288497850E-03  1.619174500E-04 -6.435055085E-04  3.629085681E-03  8.812510958E-04 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  4.721798045E-03  3.604406323E-03 -1.186306528E-03  8.367841949E-03  1.051083615E-02 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  1.693454367E-02  2.120023349E-02 -8.454498806E-03  3.554920162E-02 -3.032458679E-03 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  4.410183081E-02  3.964606959E-02 -5.394696395E-02  1.098760316E-01 -3.006947105E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  6.653794677E-02  5.666203286E-02 -1.058208829E-01  2.158040098E-01  5.475903851E-02 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01  5.875943645E-02  9.204816887E-02 -5.705752194E-02  2.539075984E-01 -1.806811506E-01 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -7.070075401E-05 -1.463141039E-04 -9.666688465E-06  1.848872075E-04  1.017893761E-04 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01  1.165512808E-03  1.873112487E-03  9.799099844E-05  2.792399175E-03  2.120025176E-03 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
        22  2.544737756E-01  2.874504924E-01 -1.813946366E-01  4.722122020E-04  6.704277996E-04 -4.934305238E-05  9.530172926E-04  8.973795374E-04 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        23  2.544677556E-01  2.873635590E-01 -1.813855320E-01 -6.226113686E-05  1.386064540E-06  7.806923187E-06  2.345389288E-04  9.273817578E-04 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        24  2.546586096E-01  2.880559266E-01 -1.813695878E-01  6.668421155E-02  1.329826010E-01 -1.518062339E-02  1.518406500E-01 -2.126425133E-01 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        25  2.545318604E-01  2.876564562E-01 -1.813562661E-01  4.355875284E-03  4.561175391E-03 -5.604676177E-04  7.264010431E-03  6.776488353E-03 -1.813562661E-01  2.876564562E-01  2.545318604E-01 
        26  2.550120950E-01  2.884951830E-01 -1.813556105E-01 -5.899436273E-02 -1.812777363E-03  2.242848673E-01  3.452786577E-01 -1.476490195E+00 -1.813556105E-01  2.884951830E-01  2.550120950E-01 
        27  2.548663616E-01  2.882746160E-01 -1.813527793E-01  9.561213016E-02  2.256757581E-01 -1.067128574E-02  3.054641161E-01 -6.268843203E-01 -1.813527793E-01  2.882746160E-01  2.548663616E-01 
        28  2.552462518E-01  2.885102332E-01 -1.813519001E-01 -8.588970597E-02 -1.946483402E-01  1.782791844E-01  2.802827962E-01 -5.602689870E-01 -1.813519001E-01  2.885102332E-01  2.552462518E-01 
        29  2.544673085E-01  2.875402272E-01 -1.813176572E-01  1.336293049E-03  2.705055372E-03 -8.433225792E-05  3.277918288E-03  3.118086619E-03 -1.813176572E-01  2.875402272E-01  2.544673085E-01 
        30  2.544474006E-01  2.872416973E-01 -1.813104004E-01 -1.886551243E-04 -1.629021451E-04  1.513865576E-05  3.427874306E-04  1.884660995E-04 -1.813104004E-01  2.872416973E-01  2.544474006E-01 
        31  2.545735240E-01  2.878542244E-01 -1.812925935E-01  3.082909098E-02  5.564365094E-02 -3.079586875E-03  6.445048662E-02 -3.128760889E-02 -1.812925935E-01  2.878542244E-01  2.545735240E-01 
        32  2.544527650E-01  2.873637974E-01 -1.812830865E-01 -1.543429970E-04  2.337932883E-04  2.498041944E-05  1.294885036E-03  1.786225956E-03 -1.812830865E-01  2.873637974E-01  2.544527650E-01 
        33  2.553903162E-01  2.887389660E-01 -1.812551618E-01 -4.445271990E-02 -4.996511608E-02 -1.024426010E-01  2.064253217E-01 -9.114192339E-01 -1.812551618E-01  2.887389660E-01  2.553903162E-01 
        34  2.551645041E-01  2.887506187E-01 -1.812474579E-01 -1.144741295E-01 -2.205637377E-01  3.315416302E-01  4.409451838E-01 -2.874107731E+00 -1.812474579E-01  2.887506187E-01  2.551645041E-01 
        35  2.549389303E-01  2.887623012E-01 -1.812397838E-01 -1.824398705E-01 -2.321049575E-01  6.674740387E-01  7.571269457E-01 -4.855903137E+00 -1.812397838E-01  2.887623012E-01  2.549389303E-01 
