nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -1.722854168E-03 -1.669104609E-03  3.910025965E-04  2.626384092E-03  1.720686885E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -1.081823066E-03 -3.446501828E-03 -2.624385538E-03  6.186320719E-03 -4.023784891E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -1.163129091E-04 -5.996532866E-04 -1.622987760E-04  6.501438762E-04 -1.735549334E-05 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -9.197970786E-05 -6.438929307E-05  1.976689969E-05  1.291506632E-04  6.318202125E-05 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -1.643744822E-04 -6.045401562E-04 -1.844867813E-04  2.796258748E-03  4.828514339E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -4.994370539E-05 -7.447375514E-05 -1.869890479E-05  9.460550767E-05 -1.634784301E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -3.822072432E-04 -9.834042071E-04 -1.579560861E-04  1.421158503E-03  1.952211840E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -2.533830075E-02 -1.481730728E-02  8.950452779E-03  5.806344001E-02  3.662998183E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -6.167247937E-05 -5.806085684E-05  1.277237806E-05  2.600055585E-04  1.971759527E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -4.252307021E-05 -8.295919621E-05 -2.114979739E-05  1.121303033E-04  1.973742466E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
