nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -4.935927279E-03 -2.241115849E-03  2.809807862E-03  7.590818427E-03  1.769297056E-03 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -5.788553753E-03 -1.395634110E-02 -9.736990205E-03  2.592634668E-02  1.145397879E-02 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01  3.174182313E-04 -1.192049392E-03 -6.327845369E-04  1.786552843E-03  9.018899175E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -4.865599206E-04 -3.578684217E-04  9.761957181E-05  6.777176970E-04  7.057895723E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -5.034578251E-05  3.601562998E-04  5.925072658E-04  7.678283985E-03  1.185207899E-02 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -2.762299056E-04 -3.729525541E-04 -8.274335106E-05  4.875130015E-04 -1.169896768E-04 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01  2.371493945E-04 -1.965758004E-03 -8.812609058E-04  5.005765094E-03  8.385413817E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -2.146039679E-02 -5.747411285E-02 -4.201218035E-02  9.403263929E-02  9.859211172E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -2.196254067E-04 -1.505558027E-05  1.183526817E-04  1.253945808E-03  1.392359428E-03 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -1.822324672E-04 -3.979504812E-04 -1.197827728E-04  5.447083828E-04  1.071214675E-03 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -2.301377446E-04 -1.450753667E-04  9.954627607E-06  2.741549524E-04 -3.875361784E-06 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01 -8.450303453E-06 -9.640882151E-05 -6.735727178E-05  4.251634184E-04  8.049135060E-04 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  6.970500115E-04  4.274052381E-04 -2.135550703E-04  1.158578664E-03  1.810230202E-03 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  2.260318777E-03  5.424195517E-04 -1.025404234E-03  5.009565192E-03  1.733785885E-03 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  8.123972509E-03  5.806280545E-03 -2.204002031E-03  1.281580046E-02  1.321297375E-02 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  2.431464438E-02  2.764406183E-02 -1.143110171E-02  4.641766796E-02 -5.444173821E-03 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  5.801527827E-02  5.106268352E-02 -6.810665733E-02  1.311385848E-01 -3.979753018E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  8.273955168E-02  7.089579286E-02 -1.254286417E-01  2.531517354E-01  3.849602613E-02 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01  6.233937291E-02  9.675113749E-02 -5.183894118E-02  3.115463942E-01 -2.362343581E-01 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -1.083001933E-04 -2.189509912E-04 -1.507509812E-05  2.816722131E-04  1.661237144E-04 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01  2.107493483E-03  2.625951192E-03 -1.122201135E-04  4.115772333E-03  3.229813660E-03 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
        22  2.544737756E-01  2.874504924E-01 -1.813946366E-01  7.016247723E-04  9.778727011E-04 -9.464682624E-05  1.395139579E-03  1.342756067E-03 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        23  2.544677556E-01  2.873635590E-01 -1.813855320E-01 -5.322434509E-05  1.743246121E-05  6.452254039E-06  2.943954933E-04  1.485959744E-03 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        24  2.546586096E-01  2.880559266E-01 -1.813695878E-01  9.819498201E-02  1.660177175E-01 -3.482870944E-02  1.988775028E-01 -2.886801221E-01 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        25  2.545318604E-01  2.876564562E-01 -1.813562661E-01  8.046970488E-03  8.070603639E-03 -1.170731588E-03  1.241734598E-02  7.137715396E-03 -1.813562661E-01  2.876564562E-01  2.545318604E-01 
        26  2.550120950E-01  2.884951830E-01 -1.813556105E-01 -8.720613830E-02 -3.928245882E-02  3.104377060E-01  4.553323021E-01 -1.712377345E+00 -1.813556105E-01  2.884951830E-01  2.550120950E-01 
        27  2.548663616E-01  2.882746160E-01 -1.813527793E-01  1.292767336E-01  2.616540454E-01 -4.866177416E-02  3.449273188E-01 -7.428280564E-01 -1.813527793E-01  2.882746160E-01  2.548663616E-01 
        28  2.552462518E-01  2.885102332E-01 -1.813519001E-01 -1.384629470E-01 -3.133738711E-01  3.025460642E-01  4.598297246E-01 -6.636824070E-01 -1.813519001E-01  2.885102332E-01  2.552462518E-01 
        29  2.544673085E-01  2.875402272E-01 -1.813176572E-01  2.543412476E-03  4.758091728E-03 -2.018655474E-04  5.854476311E-03  3.867984483E-03 -1.813176572E-01  2.875402272E-01  2.544673085E-01 
        30  2.544474006E-01  2.872416973E-01 -1.813104004E-01 -3.198760798E-04 -2.874040180E-04  2.480682887E-05  5.423783954E-04  2.732197807E-04 -1.813104004E-01  2.872416973E-01  2.544474006E-01 
        31  2.545735240E-01  2.878542244E-01 -1.812925935E-01  5.014320066E-02  7.617827062E-02 -8.133199475E-03  9.259613192E-02 -5.831743981E-02 -1.812925935E-01  2.878542244E-01  2.545735240E-01 
        32  2.544527650E-01  2.873637974E-01 -1.812830865E-01 -2.203619896E-04  4.277786375E-04  3.940516211E-05  1.998460666E-03  2.930383719E-03 -1.812830865E-01  2.873637974E-01  2.544527650E-01 
        33  2.553903162E-01  2.887389660E-01 -1.812551618E-01 -7.660026211E-02 -1.137460806E-01 -5.272072461E-02  2.990104221E-01 -1.094781571E+00 -1.812551618E-01  2.887389660E-01  2.553903162E-01 
        34  2.551645041E-01  2.887506187E-01 -1.812474579E-01 -1.615214806E-01 -3.136815091E-01  4.563190109E-01  6.033689780E-01 -3.553328583E+00 -1.812474579E-01  2.887506187E-01  2.551645041E-01 
        35  2.549389303E-01  2.887623012E-01 -1.812397838E-01 -2.184214532E-01 -2.505535166E-01  8.345349983E-01  9.360367628E-01 -5.950145111E+00 -1.812397838E-01  2.887623012E-01  2.549389303E-01 
        36  2.547759414E-01  2.885141969E-01 -1.812370569E-01 -1.020971822E-01  1.632512567E-01  4.010400844E-01  4.838295619E-01 -2.306505793E+00 -1.812370569E-01  2.885141969E-01  2.547759414E-01 
        37  2.546382248E-01  2.883045375E-01 -1.812347621E-01  8.708880073E-02  2.672845225E-01  9.793081815E-03  3.066382339E-01 -1.030859922E+00 -1.812347621E-01  2.883045375E-01  2.546382248E-01 
        38  2.544493377E-01  2.874895036E-01 -1.812134236E-01  1.721455260E-03  8.385498336E-03  1.993073873E-04  8.756265378E-03  7.209818112E-03 -1.812134236E-01  2.874895036E-01  2.544493377E-01 
        39  2.544582784E-01  2.876663506E-01 -1.812094599E-01  1.549689514E-02  2.569825942E-02 -8.051881907E-04  3.083669484E-02  4.672621592E-04 -1.812094599E-01  2.876663506E-01  2.544582784E-01 
        40  2.544355392E-01  2.872889638E-01 -1.812046319E-01 -5.322805568E-04 -7.206957827E-04  2.273289369E-05  1.503500991E-03  1.691612459E-03 -1.812046319E-01  2.872889638E-01  2.544355392E-01 
        41  2.547416091E-01  2.887833416E-01 -1.811772436E-01 -4.628995958E-01 -4.681162482E-01  1.107651803E+00  1.363006849E+00 -7.383802466E+00 -1.811772436E-01  2.887833416E-01  2.547416091E-01 
        42  2.544236779E-01  2.872039974E-01 -1.811679453E-01 -6.042646566E-04 -3.165381306E-04  6.438111327E-05  1.085222029E-03  1.303783151E-03 -1.811679453E-01  2.872039974E-01  2.544236779E-01 
        43  2.545608580E-01  2.885637581E-01 -1.811639667E-01 -5.483379425E-02  2.123600892E-01  2.052675236E-01  4.196108971E-01 -3.054832036E+00 -1.811639667E-01  2.885637581E-01  2.545608580E-01 
        44  2.544348240E-01  2.873640656E-01 -1.811604649E-01  2.314428250E-04  1.851367470E-03  4.099956062E-05  4.538556964E-03  6.398932669E-03 -1.811604649E-01  2.873640656E-01  2.544348240E-01 
        45  2.545480430E-01  2.880811393E-01 -1.811568886E-01  1.288374959E-01  2.680414552E-01 -3.826365106E-02  3.018850184E-01 -5.233908157E-01 -1.811568886E-01  2.880811393E-01  2.545480430E-01 
        46  2.553293109E-01  2.889391184E-01 -1.811437756E-01 -6.841869779E-02 -5.308395210E-02 -6.102704008E-02  4.368176175E-01 -4.827803197E+00 -1.811437756E-01  2.889391184E-01  2.553293109E-01 
        47  2.548701465E-01  2.890313566E-01 -1.811410785E-01 -7.083532027E-01 -1.591337462E+00  1.615015617E+00  2.449987356E+00 -1.628908879E+01 -1.811410785E-01  2.890313566E-01  2.548701465E-01 
        48  2.551291883E-01  2.889624536E-01 -1.811297685E-01 -1.751692922E-01 -5.673628067E-01  8.542393205E-01  1.048187116E+00 -9.733262405E+00 -1.811297685E-01  2.889624536E-01  2.551291883E-01 
        49  2.544563115E-01  2.892095447E-01 -1.811271459E-01 -1.565677131E-01 -2.890314175E+00  1.185436229E+00  3.194643883E+00 -6.036444583E+00 -1.811271459E-01  2.892095447E-01  2.544563115E-01 
        50  2.554972768E-01  2.889088094E-01 -1.811258197E-01  1.881849907E-02  2.459778135E-01 -6.130912724E-01  6.661398391E-01 -1.502312140E+00 -1.811258197E-01  2.889088094E-01  2.554972768E-01 
        51  2.540982664E-01  2.895060182E-01 -1.811010540E-01  3.347104434E-01 -1.484724113E+00 -8.573443335E-01  1.905803347E+00 -2.195501151E+00 -1.811010540E-01  2.895060182E-01  2.540982664E-01 
        52  2.544872165E-01  2.888104618E-01 -1.810965985E-01 -1.287859689E-01 -1.043535514E+00  7.745097531E-01  1.488324251E+00 -5.864722514E+00 -1.810965985E-01  2.888104618E-01  2.544872165E-01 
        53  2.544315457E-01  2.875081003E-01 -1.810851544E-01  2.028303390E-03  1.504076817E-02  5.125495454E-04  1.554049619E-02  1.190887410E-02 -1.810851544E-01  2.875081003E-01  2.544315457E-01 
