nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
        30  2.544474006E-01  2.872416973E-01 -1.813104004E-01 -2.670391403E-05 -1.897008667E-05  2.457188837E-06  7.064839504E-05  3.533985674E-05 -1.813104004E-01  2.872416973E-01  2.544474006E-01 
        31  2.545735240E-01  2.878542244E-01 -1.812925935E-01  1.095098832E-02  2.124040704E-02 -6.854022675E-04  2.492199147E-02 -2.222758388E-02 -1.812925935E-01  2.878542244E-01  2.545735240E-01 
        32  2.544527650E-01  2.873637974E-01 -1.812830865E-01 -5.987966945E-05 -1.615182829E-05  6.079278845E-06  2.547415741E-04  2.561000288E-04 -1.812830865E-01  2.873637974E-01  2.544527650E-01 
        33  2.553903162E-01  2.887389660E-01 -1.812551618E-01 -3.283865452E-02 -4.652674521E-02 -8.506254530E-02  1.031948269E-01 -2.382923302E-01 -1.812551618E-01  2.887389660E-01  2.553903162E-01 
        34  2.551645041E-01  2.887506187E-01 -1.812474579E-01 -4.040372284E-02 -7.784542676E-02  1.673885050E-02  1.140533340E-01 -7.468439602E-01 -1.812474579E-01  2.887506187E-01  2.551645041E-01 
        35  2.549389303E-01  2.887623012E-01 -1.812397838E-01 -5.925797385E-02 -1.117652744E-01  1.317497264E-01  1.864729474E-01 -1.318668575E+00 -1.812397838E-01  2.887623012E-01  2.549389303E-01 
        36  2.547759414E-01  2.885141969E-01 -1.812370569E-01 -2.965853971E-02  8.401165523E-03  9.295133530E-02  1.103184589E-01 -9.024088881E-01 -1.812370569E-01  2.885141969E-01  2.547759414E-01 
        37  2.546382248E-01  2.883045375E-01 -1.812347621E-01 -3.028543042E-03  6.481462678E-02  3.239790354E-02  7.995010818E-02 -5.025693743E-01 -1.812347621E-01  2.883045375E-01  2.546382248E-01 
        38  2.544493377E-01  2.874895036E-01 -1.812134236E-01  4.966036623E-05  4.804504224E-04  1.857030342E-05  6.997323320E-04  1.757012827E-03 -1.812134236E-01  2.874895036E-01  2.544493377E-01 
        39  2.544582784E-01  2.876663506E-01 -1.812094599E-01  4.149410842E-03  6.979674291E-03  1.704650636E-04  9.092259605E-03  1.220214256E-04 -1.812094599E-01  2.876663506E-01  2.544582784E-01 
