nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -2.051389257E-03 -1.011516765E-03  1.063032715E-03  3.115223357E-03 -2.118324199E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -5.867558515E-03 -8.314024345E-03 -3.256496471E-03  1.324516571E-02 -2.757658706E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01  2.098117131E-04 -4.551883770E-04 -2.917181105E-04  6.882178684E-04  2.993268271E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -1.918103334E-04 -1.029786254E-04  5.404046478E-05  2.620505060E-04  1.455101421E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -5.361059773E-04 -2.865298658E-04  2.572445764E-04  2.993591121E-03  3.905876333E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -9.889008779E-05 -1.399712092E-04 -3.309353493E-05  1.806799084E-04 -3.751660810E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -5.714679932E-05 -7.333005357E-04 -2.464487281E-04  2.047855426E-03  2.681818712E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -1.535428929E-02 -3.668070332E-02 -2.515564911E-02  5.557276522E-02  6.323068391E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -8.798785074E-05 -1.389665541E-05  4.442909597E-05  4.979584836E-04  4.193596126E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -7.704780424E-05 -1.507182239E-04 -4.019005056E-05  2.164350100E-04  3.976482272E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
