nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -2.225884065E-03 -1.101763729E-03  7.563336367E-04  2.802050519E-03 -1.001357873E-03 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -8.030847173E-03 -7.817616816E-03 -1.897739479E-04  1.141700166E-02 -3.449049123E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -1.855751594E-03 -1.090226666E-03  6.344085133E-04  2.295068587E-03 -4.194659368E-05 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -1.168704681E-03 -9.932308512E-04  2.248840412E-04  1.585774197E-03 -2.584077762E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -3.407531681E-03 -2.491915643E-03  9.081499547E-04  4.491808340E-03 -1.133590125E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -6.474682305E-04 -4.949238462E-04  5.324039642E-05  8.786622338E-04 -7.992288252E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -2.830981098E-03 -1.222215923E-03  1.135075089E-03  3.368141744E-03 -8.884505719E-04 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -2.334245588E-02 -1.752859734E-02  3.962592789E-03  3.763379558E-02  8.589777688E-03 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -1.472779752E-03 -1.451223027E-03  2.802186601E-04  2.106103759E-03 -1.445070723E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -1.215036497E-03 -8.873861629E-04  2.530484748E-04  1.549622237E-03 -2.405754636E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -2.474672621E-04 -5.491999567E-04 -7.750735578E-05  6.081770994E-04 -7.652607424E-05 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01 -7.044961585E-04 -8.441108236E-04  5.689568466E-05  1.121530177E-03 -5.914319533E-05 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01 -1.618915610E-03 -1.597953846E-03  2.761534557E-04  2.299373680E-03  5.776446268E-05 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01 -2.494767379E-03 -2.138959952E-03  5.474483382E-04  3.474567249E-03  9.721092052E-04 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01 -4.269739240E-03 -2.998614509E-03  1.203033536E-03  5.535029989E-03  1.058787176E-03 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01 -3.274745956E-03 -2.367329382E-03  1.480318101E-03  6.961820665E-03  1.769763744E-03 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01 -6.595685138E-03 -8.634064252E-03 -3.109339880E-03  1.758549369E-02 -1.378691220E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01 -2.003605147E-02 -1.632955657E-02  6.289934201E-03  3.522576823E-02  2.618636829E-04 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
