nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -2.126598969E-03 -1.932544512E-03  6.004879365E-04  3.227243489E-03  3.834547655E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -1.856949173E-03 -4.553002799E-03 -3.087432222E-03  8.159136969E-03 -4.230923539E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -9.305071640E-05 -7.225755163E-04 -2.221956600E-04  7.931917656E-04  2.274626779E-05 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -1.287366836E-04 -8.083984507E-05  3.062591314E-05  1.814480763E-04  9.971383984E-05 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -1.651030392E-04 -5.789859617E-04 -1.397651253E-04  3.331565782E-03  5.724304664E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -7.374312609E-05 -1.078647638E-04 -2.641825251E-05  1.376899314E-04 -2.344122036E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -3.220018806E-04 -1.188675516E-03 -2.700190863E-04  1.839143230E-03  2.629920096E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -9.955307573E-03 -2.617061709E-02 -1.894464560E-02  4.635048044E-02  5.034427597E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -7.921933523E-05 -4.859445231E-05  2.628717955E-05  3.581696783E-04  3.028040705E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -6.047116897E-05 -1.175429819E-04 -3.040406015E-05  1.612661311E-04  2.883008749E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -6.613303532E-05 -4.380707851E-05  2.281821995E-06  7.974238468E-05 -1.553154369E-06 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01  1.989368423E-06 -2.595221029E-05 -1.996560979E-05  1.268399987E-04  2.388177503E-04 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  1.527696081E-04  1.010446141E-04 -4.476864071E-05  3.220133315E-04  4.545631134E-04 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  6.016511161E-04 -1.423350315E-04 -3.798277852E-04  1.391974043E-03  9.848461912E-04 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  2.541265652E-03  1.473319055E-03 -8.117357439E-04  4.403044591E-03  5.315215189E-03 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  8.217388902E-03  1.162446010E-02 -1.782021414E-03  1.522265264E-02 -5.309723012E-03 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  1.622185364E-02  1.596538306E-02 -1.569080321E-02  4.275045022E-02 -2.892475068E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  1.152423063E-02  1.464501701E-02 -2.054204416E-02  7.589564784E-02  2.858140156E-02 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
