nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -2.249325498E-03 -1.724695368E-03  8.344691060E-04  3.388198775E-03  2.892099935E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -4.260269655E-03 -6.750432621E-03 -3.144107250E-03  1.146697204E-02 -2.771293539E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01  2.081088828E-05 -6.767669938E-04 -2.691410955E-04  7.914554429E-04  1.352130095E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -1.683010191E-04 -9.368987750E-05  4.497974296E-05  2.356499436E-04  1.418519543E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -2.647028866E-04 -4.555808789E-04  2.695945388E-05  3.406892955E-03  5.526225282E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -9.445148951E-05 -1.351520467E-04 -3.228231580E-05  1.738971904E-04 -3.298617781E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -1.974070541E-04 -1.123844673E-03 -3.157429677E-04  2.065652779E-03  2.932758787E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -1.138914969E-02 -3.419256524E-02 -2.636812681E-02  5.684017042E-02  5.917130970E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -8.733292081E-05 -2.303751559E-05  4.058895178E-05  4.422417491E-04  4.128783711E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -7.476895162E-05 -1.461812030E-04 -3.852833279E-05  2.050127411E-04  3.736587069E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -8.337809998E-05 -5.435252945E-05  3.109104476E-06  1.001231133E-04 -1.719624434E-06 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01  6.482553558E-07 -3.429428783E-05 -2.572018238E-05  1.592424509E-04  2.970563075E-04 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  2.120553279E-04  1.298006957E-04 -6.576853536E-05  4.174976874E-04  6.072228433E-04 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  7.297988107E-04 -3.729761232E-05 -4.116181112E-04  1.753900125E-03  9.268623105E-04 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
