nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -1.928640707E-03 -4.645080477E-04  1.255171208E-03  3.093988873E-03 -5.812731551E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -6.987344989E-03 -9.832078314E-03 -3.815113612E-03  1.538802312E-02 -1.069541266E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01  3.475136225E-04 -3.122872049E-04 -3.152161427E-04  6.866868339E-04  3.891088136E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -1.947326905E-04 -1.153496744E-04  5.207413974E-05  2.629769765E-04  1.190322793E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -8.577631678E-04 -2.501679102E-04  4.780005910E-04  2.914828827E-03  3.082212164E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -9.291893352E-05 -1.311101754E-04 -3.102448288E-05  1.699487824E-04 -3.563115880E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -5.313846743E-05 -5.577360734E-04 -1.819206052E-04  2.282242654E-03  2.672098712E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -1.885344200E-02 -4.275511699E-02 -2.836708142E-02  6.434810163E-02  7.333210520E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -1.179393890E-04 -4.976917791E-05  4.769966611E-05  5.642449597E-04  3.185721031E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -7.265052006E-05 -1.418740886E-04 -3.766132481E-05  2.047318337E-04  3.753618716E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -7.450615517E-05 -4.741024563E-05  3.377514855E-06  8.912992238E-05 -7.675785489E-07 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01  2.878995462E-06 -3.180048489E-05 -2.614616912E-05  1.562220886E-04  2.879304964E-04 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  2.376526731E-04  1.193113354E-04 -8.302956263E-05  4.750034499E-04  5.944345969E-04 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  5.767417049E-04 -3.645262267E-05 -3.323953161E-04  2.176853589E-03  3.494660077E-04 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  2.444806503E-03  1.437597065E-03 -7.752061751E-04  4.500206601E-03  6.258236002E-03 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  8.921823262E-03  1.084127138E-02 -5.432722640E-03  1.892576284E-02 -1.156769597E-03 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  2.265996125E-02  1.970153976E-02 -3.068251377E-02  6.677999065E-02 -1.430133038E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  3.664540331E-02  3.253842387E-02 -6.066172184E-02  1.378351522E-01  5.517363764E-02 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01  4.403144968E-02  8.001947916E-02 -4.992051142E-02  1.615723397E-01 -1.191299066E-01 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -4.750073161E-05 -8.440165735E-05 -4.079711873E-06  1.049093289E-04  7.143237243E-05 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01  5.130213710E-04  1.028049567E-03  1.205373868E-04  1.581807872E-03  1.209156227E-03 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
