nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -2.773976135E-03 -9.863382850E-04  1.705207802E-03  4.519265661E-03 -2.442192041E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -7.119542537E-03 -1.181037079E-02 -5.906942305E-03  1.919255396E-02  1.928017427E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01  3.590389743E-04 -6.467680266E-04 -4.489361657E-04  1.025686977E-03  4.799530285E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -2.604118549E-04 -1.599204242E-04  6.718728216E-05  3.529793812E-04  1.395807651E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -9.718914267E-04 -2.242739499E-04  6.174110942E-04  4.023257844E-03  4.937162782E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -1.285056593E-04 -1.792800524E-04 -4.187506360E-05  2.334825201E-04 -4.766202841E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -7.490635574E-05 -1.104419743E-03 -3.774728314E-04  3.215888727E-03  4.181199481E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -2.250897212E-02 -5.412190804E-02 -3.726422587E-02  8.166332316E-02  8.870029325E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -1.991295454E-04 -9.333911186E-05  7.699987215E-05  7.685015098E-04  3.916615714E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -9.907512625E-05 -1.902430605E-04 -5.025462160E-05  2.776951907E-04  5.103846927E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -1.061748368E-04 -6.592347543E-05  5.037242192E-06  1.262090405E-04 -5.976324619E-07 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01  7.338413628E-06 -4.428750460E-05 -3.620884752E-05  2.161766049E-04  3.949438921E-04 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  3.399421300E-04  1.906044356E-04 -1.107102867E-04  6.313906387E-04  8.420025592E-04 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  9.028850898E-04 -1.213505584E-05 -5.003231430E-04  3.024704469E-03  5.437920654E-04 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  3.498898072E-03  2.511164334E-03 -9.401736718E-04  6.519621486E-03  8.789581726E-03 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  1.305340504E-02  1.700443061E-02 -6.750370771E-03  2.816083997E-02 -1.485543615E-03 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  3.639539764E-02  3.289696732E-02 -4.516089046E-02  9.464913046E-02 -2.545756758E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  5.875454390E-02  5.108678244E-02 -9.342793883E-02  1.983101641E-01  5.146492700E-02 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01  5.830809293E-02  9.367288300E-02 -6.328371006E-02  2.357687612E-01 -1.684906334E-01 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -5.577356915E-05 -1.144019810E-04 -7.119066011E-06  1.430375669E-04  7.552106363E-05 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01  7.715278369E-04  1.480257239E-03  1.562547903E-04  2.201631522E-03  1.595417610E-03 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
        22  2.544737756E-01  2.874504924E-01 -1.813946366E-01  3.683614353E-04  5.360277549E-04 -2.921746898E-05  7.700559310E-04  6.938961561E-04 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        23  2.544677556E-01  2.873635590E-01 -1.813855320E-01 -6.552073375E-05 -8.311527894E-06  8.158314362E-06  2.132987569E-04  6.781966726E-04 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        24  2.546586096E-01  2.880559266E-01 -1.813695878E-01  5.262679394E-02  1.144686825E-01 -6.060029053E-03  1.278582260E-01 -1.723826754E-01 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        25  2.545318604E-01  2.876564562E-01 -1.813562661E-01  2.855808173E-03  3.232392851E-03 -2.753845474E-04  5.304615762E-03  6.070008667E-03 -1.813562661E-01  2.876564562E-01  2.545318604E-01 
        26  2.550120950E-01  2.884951830E-01 -1.813556105E-01 -4.207519889E-02  1.901726888E-02  1.666764579E-01  2.856646889E-01 -1.388178475E+00 -1.813556105E-01  2.884951830E-01  2.550120950E-01 
        27  2.548663616E-01  2.882746160E-01 -1.813527793E-01  8.478919596E-02  2.176279365E-01  4.252026393E-03  2.905794216E-01 -5.942830965E-01 -1.813527793E-01  2.882746160E-01  2.548663616E-01 
        28  2.552462518E-01  2.885102332E-01 -1.813519001E-01 -5.679563731E-02 -1.293325254E-01  9.552488681E-02  1.784073368E-01 -5.105470930E-01 -1.813519001E-01  2.885102332E-01  2.552462518E-01 
        29  2.544673085E-01  2.875402272E-01 -1.813176572E-01  8.915801538E-04  1.931896318E-03 -2.889458956E-05  2.318416424E-03  2.729679895E-03 -1.813176572E-01  2.875402272E-01  2.544673085E-01 
        30  2.544474006E-01  2.872416973E-01 -1.813104004E-01 -1.327381159E-04 -1.101306359E-04  1.099681561E-05  2.580486482E-04  1.500308969E-04 -1.813104004E-01  2.872416973E-01  2.544474006E-01 
        31  2.545735240E-01  2.878542244E-01 -1.812925935E-01  2.280840215E-02  4.400857327E-02 -1.659052079E-03  5.010697782E-02 -2.009486621E-02 -1.812925935E-01  2.878542244E-01  2.545735240E-01 
        32  2.544527650E-01  2.873637974E-01 -1.812830865E-01 -1.329028647E-04  1.551103019E-04  2.014107619E-05  9.942036344E-04  1.298130062E-03 -1.812830865E-01  2.873637974E-01  2.544527650E-01 
        33  2.553903162E-01  2.887389660E-01 -1.812551618E-01 -1.715962689E-02  6.111820249E-03 -1.514723280E-01  1.728771522E-01 -8.298374961E-01 -1.812551618E-01  2.887389660E-01  2.553903162E-01 
        34  2.551645041E-01  2.887506187E-01 -1.812474579E-01 -7.972014232E-02 -1.521534071E-01  2.448903403E-01  3.386039875E-01 -2.561948601E+00 -1.812474579E-01  2.887506187E-01  2.551645041E-01 
        35  2.549389303E-01  2.887623012E-01 -1.812397838E-01 -1.566130853E-01 -2.031592125E-01  5.719965516E-01  6.495797422E-01 -4.358152351E+00 -1.812397838E-01  2.887623012E-01  2.549389303E-01 
        36  2.547759414E-01  2.885141969E-01 -1.812370569E-01 -8.512817244E-02  1.341331912E-01  3.314421632E-01  3.953150743E-01 -2.046772820E+00 -1.812370569E-01  2.885141969E-01  2.547759414E-01 
        37  2.546382248E-01  2.883045375E-01 -1.812347621E-01  2.925441345E-02  2.262579946E-01  6.274790653E-02  2.567998679E-01 -8.318340938E-01 -1.812347621E-01  2.883045375E-01  2.546382248E-01 
        38  2.544493377E-01  2.874895036E-01 -1.812134236E-01  4.924357041E-04  3.413642679E-03  1.116146876E-04  3.589545419E-03  4.643915360E-03 -1.812134236E-01  2.874895036E-01  2.544493377E-01 
        39  2.544582784E-01  2.876663506E-01 -1.812094599E-01  6.235340018E-03  1.131687859E-02 -3.671611248E-04  1.344545188E-02  8.446800809E-03 -1.812094599E-01  2.876663506E-01  2.544582784E-01 
        40  2.544355392E-01  2.872889638E-01 -1.812046319E-01 -1.942349198E-04 -3.561981528E-04  1.156920906E-06  7.443589310E-04  7.528661883E-04 -1.812046319E-01  2.872889638E-01  2.544355392E-01 
        41  2.547416091E-01  2.887833416E-01 -1.811772436E-01 -3.786537316E-01 -4.410428715E-01  8.659829398E-01  1.079551676E+00 -5.542983212E+00 -1.811772436E-01  2.887833416E-01  2.547416091E-01 
        42  2.544236779E-01  2.872039974E-01 -1.811679453E-01 -2.394602007E-04 -1.475401893E-04  2.383130445E-05  4.873781679E-04  5.260512968E-04 -1.811679453E-01  2.872039974E-01  2.544236779E-01 
        43  2.545608580E-01  2.885637581E-01 -1.811639667E-01 -9.364587975E-02  9.988506433E-02  2.051370875E-01  3.394214939E-01 -2.772559481E+00 -1.811639667E-01  2.885637581E-01  2.545608580E-01 
