nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -2.269716174E-02 -1.896832266E-02  8.055030363E-03  3.417070157E-02  1.644188472E-02 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01  1.123464851E-02 -1.398308966E-02 -2.772704233E-02  7.172729678E-02  3.874424037E-02 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -6.922482221E-04 -7.259947826E-03 -2.369633225E-03  8.723954966E-03  3.251072661E-03 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -2.359676374E-03 -1.722890682E-03  4.200008231E-04  3.447432166E-03  4.945725201E-03 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01  1.185248656E-02  2.934559876E-03 -3.296044562E-03  5.328828190E-02  7.739617644E-02 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -1.817032614E-03 -2.367905619E-03 -4.889385724E-04  3.118040682E-03 -7.427026449E-04 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -2.047034023E-04 -1.142222699E-02 -4.227223249E-03  2.133666969E-02  3.623760880E-02 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01  2.052799144E-02 -6.525951499E-02 -9.253628554E-02  1.680986839E-01  9.982437661E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01  3.338445266E-04  1.191777307E-03  2.648171099E-04  4.991710772E-03  1.062265618E-02 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -1.171027690E-03 -2.416091623E-03 -7.040527894E-04  3.302518365E-03  6.536588051E-03 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -1.688858516E-03 -1.083132784E-03  6.357424133E-05  2.015275158E-03 -5.616040174E-05 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01 -9.310496481E-05 -6.737410090E-04 -4.174810018E-04  2.786447890E-03  5.194759977E-03 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  4.124628368E-03  3.234251782E-03 -9.964831700E-04  6.067731560E-03  1.251999313E-02 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  1.688656819E-02  7.801362642E-03 -6.130883584E-03  2.406575118E-02  1.323151491E-02 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  5.703768796E-02  2.892430655E-02 -1.982615364E-02  7.772450404E-02  1.729576431E-02 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  1.205881986E-01  1.110284322E-01 -4.949619214E-02  1.836463191E-01 -1.127873005E-01 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  1.755992760E-01  1.395575472E-01 -1.954883004E-01  3.318392791E-01 -2.438349567E-01 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  2.120469724E-01  1.560838213E-01 -2.841817910E-01  4.972986298E-01 -1.212881231E-01 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01  1.445957873E-01  1.747799833E-01 -1.678339494E-01  7.230527977E-01 -8.180069043E-01 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -6.778880410E-04 -1.421028013E-03 -1.119821602E-04  1.935779811E-03  1.278788652E-03 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01  1.640645561E-02  1.328059294E-02 -3.597619186E-03  2.190262743E-02  1.039829842E-02 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
        22  2.544737756E-01  2.874504924E-01 -1.813946366E-01  5.143531307E-03  6.448700601E-03 -8.578806360E-04  8.964091479E-03  7.522800361E-03 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        23  2.544677556E-01  2.873635590E-01 -1.813855320E-01  4.714195062E-04  1.226643722E-03 -1.845901754E-05  3.201413709E-03  9.889390365E-03 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        24  2.546586096E-01  2.880559266E-01 -1.813695878E-01  4.400339108E-01  4.309374689E-01 -2.376089645E-01  6.765309891E-01 -1.371766965E+00 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        25  2.545318604E-01  2.876564562E-01 -1.813562661E-01  7.220983039E-02  6.139990125E-02 -1.469768309E-02  9.803721865E-02 -4.073878785E-02 -1.813562661E-01  2.876564562E-01  2.545318604E-01 
        26  2.550120950E-01  2.884951830E-01 -1.813556105E-01 -1.657673432E-01 -1.642034375E-01  2.599039483E-01  1.114176627E+00 -6.986268338E+00 -1.813556105E-01  2.884951830E-01  2.550120950E-01 
        27  2.548663616E-01  2.882746160E-01 -1.813527793E-01  4.638785873E-01  7.805485359E-01 -3.585570864E-01  1.031647494E+00 -2.809981795E+00 -1.813527793E-01  2.882746160E-01  2.548663616E-01 
        28  2.552462518E-01  2.885102332E-01 -1.813519001E-01 -4.875792732E-01 -1.135147044E+00 -8.378263878E-02  1.288054286E+00 -2.528915061E+00 -1.813519001E-01  2.885102332E-01  2.552462518E-01 
