nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -2.533615886E-02 -4.529149009E-02 -2.834212010E-03  6.005525173E-02  5.749650103E-02 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01  6.421263173E-02 -2.174028972E-02 -9.540736341E-02  2.222575924E-01 -2.028240728E-02 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -8.765858901E-03 -2.099626741E-02 -3.029031730E-03  2.431948371E-02  4.028996635E-03 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -4.796700006E-04  4.336077226E-04  3.752312987E-04  1.051496282E-03 -1.412216430E-03 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01  7.549852332E-02  7.255690550E-03 -3.653032305E-02  1.791803643E-01  2.031576892E-01 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -1.619267033E-03 -8.557948676E-04  2.617310484E-04  1.877679462E-03 -3.196531444E-04 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -1.847631309E-02 -3.139708190E-02 -1.501414351E-03  5.411021629E-02  1.631322818E-02 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01  1.629175419E-01 -8.540700365E-02 -2.569402444E-01  4.930562282E-01  4.001289489E-01 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01  5.323029461E-03  1.092712437E-03 -2.591415110E-03  1.139201845E-02  8.681516005E-03 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -2.231247663E-03 -1.099101621E-03  6.755706644E-04  2.719439023E-03 -6.352013385E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -1.169477049E-03 -8.611002240E-04  1.248181111E-04  1.497206837E-03  6.819292267E-05 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01 -2.196817233E-03 -1.701385396E-03  4.217605845E-04  3.040633136E-03  8.467643215E-04 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01 -3.126600841E-04  2.023860535E-03  9.656902727E-04  6.198132021E-03  2.465292064E-03 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  2.076399890E-02  1.869909881E-02 -3.807350045E-03  4.853996351E-02  3.933722910E-02 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  7.158669983E-02  1.160663446E-01  5.398165418E-03  2.714057378E-01 -2.068024519E-01 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  4.293962107E-01  4.950156196E-01 -1.163364588E-01  7.134461465E-01 -8.870064621E-01 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  6.626802642E-01  5.936364458E-01 -6.517811003E-01  1.247431724E+00 -1.870826000E+00 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  7.220268970E-01  4.791787546E-01 -9.675329438E-01  1.499729385E+00 -9.551304188E-01 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01  7.080712985E-01  9.216120623E-01 -1.197425008E+00  1.867389135E+00 -2.431097272E+00 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -4.288819827E-03 -2.658861280E-03  3.843553887E-04  5.119375854E-03 -1.486165100E-03 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01 -5.148774954E-04 -3.199149595E-05  2.594656941E-04  1.591640715E-02  1.279101470E-02 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
        22  2.544737756E-01  2.874504924E-01 -1.813946366E-01 -5.797535025E-03 -3.004995824E-03  6.763132764E-04  1.179881428E-02 -2.860402127E-03 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        23  2.544677556E-01  2.873635590E-01 -1.813855320E-01 -3.582732257E-03 -4.689095191E-03  2.305832894E-04  6.586893399E-03 -2.832698960E-03 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        24  2.546586096E-01  2.880559266E-01 -1.813695878E-01  1.445608667E+00  1.525438085E+00 -7.182366704E-01  2.292899175E+00 -7.324683993E+00 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        25  2.545318604E-01  2.876564562E-01 -1.813562661E-01  5.210585023E-02  1.334606239E-01  2.329899778E-02  2.234011159E-01 -1.147199257E-02 -1.813562661E-01  2.876564562E-01  2.545318604E-01 
        26  2.550120950E-01  2.884951830E-01 -1.813556105E-01  5.605822976E-01  8.278666053E-01 -1.518814664E+00  1.907184510E+00 -1.308284254E+01 -1.813556105E-01  2.884951830E-01  2.550120950E-01 
        27  2.548663616E-01  2.882746160E-01 -1.813527793E-01  1.322138103E+00  1.465790686E+00 -1.546151862E+00  2.537261012E+00 -9.490527887E+00 -1.813527793E-01  2.882746160E-01  2.548663616E-01 
        28  2.552462518E-01  2.885102332E-01 -1.813519001E-01  4.481612948E-01  9.722323830E-01 -2.508671498E+00  2.745189601E+00 -5.818471292E+00 -1.813519001E-01  2.885102332E-01  2.552462518E-01 
        29  2.544673085E-01  2.875402272E-01 -1.813176572E-01 -1.933652055E-02 -2.923144631E-03  5.796130002E-03  3.220459109E-02  2.381518259E-02 -1.813176572E-01  2.875402272E-01  2.544673085E-01 
        30  2.544474006E-01  2.872416973E-01 -1.813104004E-01 -8.042203320E-03 -1.093182170E-02  3.400131975E-04  1.423326164E-02 -1.814361091E-03 -1.813104004E-01  2.872416973E-01  2.544474006E-01 
        31  2.545735240E-01  2.878542244E-01 -1.812925935E-01  1.080105207E+00  1.175465182E+00 -2.666798432E-01  1.766880637E+00 -4.382625439E+00 -1.812925935E-01  2.878542244E-01  2.545735240E-01 
        32  2.544527650E-01  2.873637974E-01 -1.812830865E-01 -1.611615233E-02 -1.138248159E-02  1.676026149E-03  2.631265752E-02 -2.585624665E-03 -1.812830865E-01  2.873637974E-01  2.544527650E-01 
        33  2.553903162E-01  2.887389660E-01 -1.812551618E-01  8.788605033E-01  1.984626173E+00 -3.074430777E+00  3.787994361E+00 -6.954110065E+00 -1.812551618E-01  2.887389660E-01  2.553903162E-01 
        34  2.551645041E-01  2.887506187E-01 -1.812474579E-01  4.400735664E-01  8.269850862E-01 -2.511696398E+00  2.736261466E+00 -1.741496596E+01 -1.812474579E-01  2.887506187E-01  2.551645041E-01 
        35  2.549389303E-01  2.887623012E-01 -1.812397838E-01 -3.720023183E-02  2.341492247E-02 -6.822827797E-01  1.440106873E+00 -3.532452982E+01 -1.812397838E-01  2.887623012E-01  2.549389303E-01 
        36  2.547759414E-01  2.885141969E-01 -1.812370569E-01  5.369960277E-01  9.163004234E-01 -6.476253568E-01  1.712580967E+00 -2.253643470E+01 -1.812370569E-01  2.885141969E-01  2.547759414E-01 
        37  2.546382248E-01  2.883045375E-01 -1.812347621E-01  1.965939833E+00  1.773425653E+00 -1.619798377E+00  3.186293664E+00 -1.968046904E+01 -1.812347621E-01  2.883045375E-01  2.546382248E-01 
        38  2.544493377E-01  2.874895036E-01 -1.812134236E-01 -3.782556649E-02 -3.825239325E-02  3.480179269E-03  6.718734786E-02  6.911518934E-02 -1.812134236E-01  2.874895036E-01  2.544493377E-01 
        39  2.544582784E-01  2.876663506E-01 -1.812094599E-01  3.179535054E-01  4.628749318E-01  2.816236878E-02  6.689602883E-01 -8.092027981E-01 -1.812094599E-01  2.876663506E-01  2.544582784E-01 
        40  2.544355392E-01  2.872889638E-01 -1.812046319E-01 -2.469596158E-03 -7.153664839E-03 -1.863513331E-04  1.420397657E-02  6.434722284E-03 -1.812046319E-01  2.872889638E-01  2.544355392E-01 
        41  2.547416091E-01  2.887833416E-01 -1.811772436E-01 -5.464746223E-01 -3.239911704E-01  1.337463255E+00  2.539191080E+00 -5.118589412E+01 -1.811772436E-01  2.887833416E-01  2.547416091E-01 
