nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -3.123827491E-02 -3.320148081E-02  7.347223872E-03  4.919591751E-02  3.435109629E-02 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01  3.622736961E-02 -1.910701744E-02 -5.943656349E-02  1.349994511E-01  5.089603558E-02 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -2.567540739E-03 -1.256168317E-02 -3.325694569E-03  1.504541165E-02  5.957145261E-03 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -3.596487195E-03 -2.552840025E-03  6.668477369E-04  5.235650351E-03  7.460918354E-03 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01  2.955191938E-02  4.640442784E-03 -1.273996132E-02  9.403863795E-02  1.369016380E-01 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -2.788840867E-03 -3.624712378E-03 -7.485902891E-04  4.785234981E-03 -1.111409388E-03 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -8.649257341E-04 -1.985430126E-02 -7.060984063E-03  3.207613969E-02  5.341433043E-02 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01  1.203401233E-01 -5.830965941E-02 -1.845377212E-01  3.329856172E-01  9.759507486E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01  1.354399707E-03  1.820446151E-03 -7.252720042E-05  7.540647334E-03  1.649102443E-02 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -1.626047958E-03 -3.530299202E-03 -1.110274264E-03  5.152542455E-03  1.028608584E-02 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -2.561645233E-03 -1.633556187E-03  1.014828135E-04  3.054251013E-03 -6.752391580E-05 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
