nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -1.284206625E-02 -1.086684513E-02  4.337917299E-03  1.948345561E-02  9.891101373E-03 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01  3.592585238E-03 -1.752076798E-02 -2.370372035E-02  5.236127151E-02  3.270250188E-02 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -4.102318189E-04 -4.468175294E-03 -1.467345565E-03  5.392221406E-03  2.076819477E-03 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -1.473880805E-03 -1.096937572E-03  2.591885416E-04  2.135105690E-03  2.887998776E-03 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01  7.887117767E-03  2.349870362E-03 -2.590302698E-03  3.045816491E-02  4.733509847E-02 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -1.083404190E-03 -1.425819343E-03 -2.998095652E-04  1.872269595E-03 -4.243820866E-04 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -1.433913654E-04 -7.307136217E-03 -2.697195037E-03  1.373327274E-02  2.455190286E-02 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -5.376288553E-03 -4.798479419E-02 -4.759832059E-02  1.078020747E-01  1.093487659E-01 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01  6.565697528E-06  5.801300143E-04  2.170151936E-04  3.130577709E-03  6.212095003E-03 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -7.174331711E-04 -1.479027168E-03 -4.266329110E-04  2.003441753E-03  3.930855882E-03 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -9.955095038E-04 -6.433738078E-04  3.755942081E-05  1.191105261E-03 -3.104813766E-05 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01 -4.828426288E-05 -3.886835741E-04 -2.467022760E-04  1.669954733E-03  3.160517912E-03 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  2.388104931E-03  1.813612891E-03 -6.001731183E-04  3.573966653E-03  7.411857433E-03 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  9.820881907E-03  3.850630531E-03 -3.833200654E-03  1.465044872E-02  9.494767388E-03 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  3.295263900E-02  1.741133927E-02 -1.121712489E-02  4.606379935E-02  2.074003643E-02 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  7.581235052E-02  7.456223246E-02 -3.285839638E-02  1.236910239E-01 -5.441508191E-02 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  1.183903634E-01  9.716066493E-02 -1.354742737E-01  2.388988428E-01 -1.283075614E-01 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  1.387166995E-01  1.049795994E-01 -1.980061590E-01  3.424114070E-01 -1.585411830E-02 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01  8.142420423E-02  1.027972567E-01 -6.954610512E-02  4.541717016E-01 -4.355915291E-01 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -4.334572919E-04 -8.486845468E-04 -6.212950857E-05  1.134131799E-03  7.347222381E-04 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01  9.224596687E-03  7.942536837E-03 -1.841936061E-03  1.278819176E-02  8.598376662E-03 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
        22  2.544737756E-01  2.874504924E-01 -1.813946366E-01  3.082952166E-03  3.822386022E-03 -4.998739803E-04  5.360001704E-03  4.979564564E-03 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        23  2.544677556E-01  2.873635590E-01 -1.813855320E-01  2.394150071E-04  6.256813077E-04 -1.101730200E-05  1.779628994E-03  6.076639970E-03 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        24  2.546586096E-01  2.880559266E-01 -1.813695878E-01  2.752748157E-01  2.961561561E-01 -1.395172859E-01  4.356685674E-01 -7.946635224E-01 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        25  2.545318604E-01  2.876564562E-01 -1.813562661E-01  3.969007115E-02  3.486472901E-02 -7.654030900E-03  5.464721377E-02 -8.445317774E-03 -1.813562661E-01  2.876564562E-01  2.545318604E-01 
        26  2.550120950E-01  2.884951830E-01 -1.813556105E-01 -1.400984251E-01 -1.271631475E-01  3.377024450E-01  7.272107365E-01 -4.039235121E+00 -1.813556105E-01  2.884951830E-01  2.550120950E-01 
        27  2.548663616E-01  2.882746160E-01 -1.813527793E-01  2.773960050E-01  4.583147632E-01 -2.135350752E-01  6.267066561E-01 -1.572029192E+00 -1.813527793E-01  2.882746160E-01  2.548663616E-01 
        28  2.552462518E-01  2.885102332E-01 -1.813519001E-01 -3.201424179E-01 -7.390719442E-01  1.723917408E-01  8.534141634E-01 -1.566544128E+00 -1.813519001E-01  2.885102332E-01  2.552462518E-01 
        29  2.544673085E-01  2.875402272E-01 -1.813176572E-01  1.586388467E-02  2.402811748E-02 -1.543977244E-03  3.043850647E-02  1.467031209E-03 -1.813176572E-01  2.875402272E-01  2.544673085E-01 
        30  2.544474006E-01  2.872416973E-01 -1.813104004E-01 -1.522573385E-03 -1.372063419E-03  1.177542883E-04  2.184434410E-03  1.198912298E-03 -1.813104004E-01  2.872416973E-01  2.544474006E-01 
