nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -6.335013535E-03 -4.387723232E-03  2.862099782E-03  1.015769717E-02  1.774922483E-03 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -3.976209832E-03 -1.331494787E-02 -1.083847881E-02  2.695077397E-02  1.460499827E-02 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01  2.794781324E-04 -2.037558537E-03 -9.328708995E-04  2.486698926E-03  7.225673790E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -5.751535620E-04 -2.891073534E-04  1.635645824E-04  8.068796459E-04  5.070483717E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01  6.917572388E-05 -1.733731819E-04  3.837132029E-04  1.025190207E-02  1.514625703E-02 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -3.467258772E-04 -4.788716304E-04 -1.090812204E-04  6.226264220E-04 -1.187800521E-04 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -4.401287302E-05 -3.302039227E-03 -1.230539634E-03  6.667037135E-03  1.010196495E-02 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -1.691782824E-02 -5.849358963E-02 -4.767485918E-02  9.848045806E-02  8.403012975E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -2.785993768E-04  2.111713078E-05  1.654560180E-04  1.454823819E-03  1.631395018E-03 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -2.665998167E-04 -4.941855942E-04 -1.271912929E-04  7.199198687E-04  1.336774504E-03 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -3.075107168E-04 -1.965339252E-04  1.220718866E-05  3.671622263E-04 -8.394853278E-06 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01 -1.394538825E-05 -1.308879365E-04 -8.987419264E-05  5.553293872E-04  1.049177869E-03 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01  8.787600311E-04  5.675221079E-04 -2.582569631E-04  1.437564243E-03  2.435542590E-03 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01  3.082942053E-03  6.949800570E-04 -1.409220249E-03  6.213933126E-03  2.686668756E-03 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01  1.079355974E-02  7.050446601E-03 -3.168785832E-03  1.678908221E-02  1.566144649E-02 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  2.937861848E-02  3.176719457E-02 -1.410842949E-02  5.311780058E-02 -1.184133235E-02 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  6.405990703E-02  5.586766116E-02 -7.315397652E-02  1.366657848E-01 -4.513138531E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01  9.227424469E-02  8.105780975E-02 -1.318352215E-01  2.720281208E-01  1.177361223E-02 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
