nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -2.149242382E-03 -4.346351065E-04  1.471803790E-03  3.591811291E-03 -5.874727373E-04 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -7.323572372E-03 -1.097946891E-02 -4.760411823E-03  1.739152908E-02  8.821272958E-04 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01  3.948470599E-04 -3.845505912E-04 -3.694561099E-04  8.025416772E-04  4.356557918E-04 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -2.140458992E-04 -1.335980759E-04  5.443377288E-05  2.900857976E-04  1.306127827E-04 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -9.962411204E-04 -2.135685649E-04  5.917226794E-04  3.324955522E-03  3.422818999E-03 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -1.049659098E-04 -1.466724151E-04 -3.429835247E-05  1.907010687E-04 -4.027980984E-05 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -6.515170852E-05 -6.953965880E-04 -2.274581117E-04  2.686591413E-03  3.179044231E-03 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -2.051002920E-02 -4.847177820E-02 -3.302349239E-02  7.304249459E-02  8.128800172E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -1.527105039E-04 -7.176115763E-05  5.897747113E-05  6.504857839E-04  3.197376086E-04 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -8.040103434E-05 -1.562838103E-04 -4.174133313E-05  2.260470717E-04  4.184551939E-04 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -8.634877659E-05 -5.410965366E-05  3.956659283E-06  1.028599181E-04 -4.591252934E-07 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01  5.110217625E-06 -3.654791857E-05 -2.946147756E-05  1.759220565E-04  3.216596542E-04 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
