nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01 -6.854308653E-04 -5.722208652E-04 -1.078050497E-05  1.309192646E-03 -1.019702637E-03 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.548512220E-01  2.878829241E-01 -1.816360205E-01 -3.061585428E-03 -4.879371441E-03 -2.051689259E-03  6.413448646E-03 -2.234137146E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         3  2.546454668E-01  2.875562012E-01 -1.816323549E-01 -3.532891571E-04 -3.279400316E-04  7.499553319E-05  4.967643840E-04  4.177349920E-05 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         4  2.545785308E-01  2.874499261E-01 -1.815854460E-01 -1.044766277E-04 -1.490333296E-04 -1.780799458E-06  1.889567335E-04 -3.141357880E-05 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
         5  2.546952367E-01  2.877734601E-01 -1.815741956E-01 -1.267835152E-03 -1.567775462E-03 -1.186385096E-04  2.363203256E-03  4.023516605E-06 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
         6  2.545055747E-01  2.873340249E-01 -1.815646887E-01 -5.205569483E-05 -4.698413366E-05  9.346590347E-07  7.474838975E-05 -4.993635436E-06 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
         7  2.546342313E-01  2.876330912E-01 -1.815607548E-01 -8.119249117E-04 -3.685722598E-04  3.186953240E-04  1.019881499E-03 -4.241329680E-04 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
         8  2.549690902E-01  2.880701125E-01 -1.815471649E-01 -1.786484361E-02 -1.337837716E-02  3.074516721E-03  3.837367889E-02  2.166573832E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
         9  2.545777857E-01  2.875143886E-01 -1.815407425E-01 -1.463626855E-04 -2.499972208E-04 -1.237556336E-05  3.008221415E-04 -2.715648861E-05 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        10  2.545290291E-01  2.874064445E-01 -1.815271378E-01 -9.921434033E-05 -9.730333943E-05  1.142063769E-05  1.430472468E-04 -3.092790517E-05 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        11  2.544733286E-01  2.872828245E-01 -1.815232784E-01 -2.380642002E-05 -5.428990966E-05 -7.059925780E-06  5.975406020E-05 -4.770834181E-06 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        12  2.544800043E-01  2.873633802E-01 -1.814693660E-01 -6.343212566E-05 -8.272321132E-05  2.815419602E-06  1.058864149E-04 -1.038125096E-05 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        13  2.545178235E-01  2.874630094E-01 -1.814692020E-01 -1.645443699E-04 -1.960257331E-04  1.428139556E-05  2.685675240E-04 -1.169609623E-04 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        14  2.545597255E-01  2.875734568E-01 -1.814690083E-01 -4.232273891E-04 -4.433649132E-04  6.082535181E-05  6.649912905E-04  5.719889510E-05 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        15  2.546109259E-01  2.877084315E-01 -1.814687997E-01 -1.235984091E-03 -9.252187799E-04  3.291303804E-04  1.681415043E-03  9.770188090E-04 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        16  2.546735406E-01  2.878735065E-01 -1.814685166E-01  5.007485326E-04  1.970108755E-03  4.566746166E-04  7.449489048E-03  6.263295813E-04 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        17  2.548077404E-01  2.879965901E-01 -1.814668328E-01  2.681350044E-03  7.701817175E-04 -6.901858589E-03  1.960704193E-02 -1.354239702E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        18  2.549477816E-01  2.881250679E-01 -1.814650744E-01 -1.553746072E-02 -7.463576449E-03  6.502002048E-03  3.942851993E-02  9.413673712E-03 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        19  2.550802231E-01  2.882465422E-01 -1.814634055E-01 -1.954416256E-02 -1.222311529E-02  1.722369013E-02  3.993214852E-02 -2.844892611E-02 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        20  2.544662654E-01  2.872716486E-01 -1.814234853E-01 -7.223497490E-05 -1.012768758E-04  1.454390720E-06  1.261675953E-04 -3.524767511E-05 -1.814234853E-01  2.872716486E-01  2.544662654E-01 
        21  2.545108199E-01  2.875386775E-01 -1.814013273E-01 -3.325986347E-04 -2.237556576E-04  9.020511723E-05  4.996564265E-04  1.873317957E-05 -1.814013273E-01  2.875386775E-01  2.545108199E-01 
        22  2.544737756E-01  2.874504924E-01 -1.813946366E-01 -1.329238234E-04 -7.858269424E-05  4.033728308E-05  2.128695683E-04  7.090327983E-05 -1.813946366E-01  2.874504924E-01  2.544737756E-01 
        23  2.544677556E-01  2.873635590E-01 -1.813855320E-01 -1.337189145E-04 -1.407927463E-04  1.055882735E-05  1.959178806E-04 -4.788241775E-05 -1.813855320E-01  2.873635590E-01  2.544677556E-01 
        24  2.546586096E-01  2.880559266E-01 -1.813695878E-01  1.239253103E-02  2.901861043E-02  1.826383875E-03  3.224938218E-02 -7.906558179E-02 -1.813695878E-01  2.880559266E-01  2.546586096E-01 
        25  2.545318604E-01  2.876564562E-01 -1.813562661E-01 -6.428313141E-04 -8.813482355E-04  3.619955142E-06  1.287886617E-03  1.641333913E-03 -1.813562661E-01  2.876564562E-01  2.545318604E-01 
        26  2.550120950E-01  2.884951830E-01 -1.813556105E-01 -2.098419521E-02 -3.790214899E-02  2.044104247E-02  5.534074642E-02 -3.305191809E-01 -1.813556105E-01  2.884951830E-01  2.550120950E-01 
        27  2.548663616E-01  2.882746160E-01 -1.813527793E-01 -1.196642253E-03  1.060562662E-02  1.305519542E-02  3.489660348E-02 -1.787581153E-01 -1.813527793E-01  2.882746160E-01  2.548663616E-01 
        28  2.552462518E-01  2.885102332E-01 -1.813519001E-01 -2.291101504E-02 -5.330750694E-02 -2.709360699E-03  6.090040089E-02 -1.164787401E-01 -1.813519001E-01  2.885102332E-01  2.552462518E-01 
        29  2.544673085E-01  2.875402272E-01 -1.813176572E-01 -3.902317557E-04 -2.688730134E-04  1.196102794E-04  6.030569753E-04  9.220558920E-04 -1.813176572E-01  2.875402272E-01  2.544673085E-01 
        30  2.544474006E-01  2.872416973E-01 -1.813104004E-01 -1.551245367E-04 -1.847377313E-04  8.560622840E-06  2.418011450E-04  1.622773742E-05 -1.813104004E-01  2.872416973E-01  2.544474006E-01 
        31  2.545735240E-01  2.878542244E-01 -1.812925935E-01  7.131064571E-03  1.427391786E-02 -5.112248100E-04  1.805148992E-02 -1.838007837E-02 -1.812925935E-01  2.878542244E-01  2.545735240E-01 
        32  2.544527650E-01  2.873637974E-01 -1.812830865E-01 -2.283065710E-04 -2.279287652E-04  1.897345697E-05  3.606554052E-04 -6.932329704E-05 -1.812830865E-01  2.873637974E-01  2.544527650E-01 
        33  2.553903162E-01  2.887389660E-01 -1.812551618E-01 -3.380693127E-02 -5.614355368E-02 -3.724254280E-02  7.686418058E-02 -1.499822086E-01 -1.812551618E-01  2.887389660E-01  2.553903162E-01 
        34  2.551645041E-01  2.887506187E-01 -1.812474579E-01 -4.363994190E-02 -8.503907978E-02  2.634608388E-02  1.069364908E-01 -4.695320489E-01 -1.812474579E-01  2.887506187E-01  2.551645041E-01 
        35  2.549389303E-01  2.887623012E-01 -1.812397838E-01 -5.449528735E-02 -1.146537943E-01  9.630213702E-02  1.612575548E-01 -8.518679846E-01 -1.812397838E-01  2.887623012E-01  2.549389303E-01 
        36  2.547759414E-01  2.885141969E-01 -1.812370569E-01 -2.825051162E-02 -2.510378499E-02  6.527247369E-02  8.132269323E-02 -6.168652490E-01 -1.812370569E-01  2.885141969E-01  2.547759414E-01 
        37  2.546382248E-01  2.883045375E-01 -1.812347621E-01 -6.257143760E-03  2.712332319E-02  2.380869152E-02  4.728327051E-02 -3.733774670E-01 -1.812347621E-01  2.883045375E-01  2.546382248E-01 
        38  2.544493377E-01  2.874895036E-01 -1.812134236E-01 -5.384925038E-04 -6.434147593E-04  4.420751547E-05  9.438128301E-04  1.090186496E-03 -1.812134236E-01  2.874895036E-01  2.544493377E-01 
        39  2.544582784E-01  2.876663506E-01 -1.812094599E-01  2.441206145E-03  3.892774349E-03  1.036437214E-04  6.822637046E-03  5.999878944E-04 -1.812094599E-01  2.876663506E-01  2.544582784E-01 
        40  2.544355392E-01  2.872889638E-01 -1.812046319E-01 -2.705355104E-04 -3.692480146E-04  1.137718926E-05  4.588890189E-04 -4.113309914E-05 -1.812046319E-01  2.872889638E-01  2.544355392E-01 
        41  2.547416091E-01  2.887833416E-01 -1.811772436E-01 -1.056189780E-01 -1.811235980E-01  1.992690589E-01  2.904969253E-01 -1.130033084E+00 -1.811772436E-01  2.887833416E-01  2.547416091E-01 
        42  2.544236779E-01  2.872039974E-01 -1.811679453E-01 -4.639169368E-04 -5.731180234E-04  2.420948805E-05  7.422368872E-04 -1.808339854E-04 -1.811679453E-01  2.872039974E-01  2.544236779E-01 
        43  2.545608580E-01  2.885637581E-01 -1.811639667E-01 -4.580246760E-02 -5.887715738E-02  6.722602214E-02  1.081910896E-01 -8.630431323E-01 -1.811639667E-01  2.885637581E-01  2.545608580E-01 
        44  2.544348240E-01  2.873640656E-01 -1.811604649E-01 -5.481011508E-04 -5.163282978E-04  4.424154408E-05  8.008430313E-04  2.456916879E-04 -1.811604649E-01  2.873640656E-01  2.544348240E-01 
        45  2.545480430E-01  2.880811393E-01 -1.811568886E-01  8.691815455E-03  4.392079784E-02  3.218494204E-03  4.735973574E-02 -1.809272367E-01 -1.811568886E-01  2.880811393E-01  2.545480430E-01 
        46  2.553293109E-01  2.889391184E-01 -1.811437756E-01 -5.529658714E-02 -8.881197837E-02  3.876713183E-03  1.153354448E-01 -4.440742802E-01 -1.811437756E-01  2.889391184E-01  2.553293109E-01 
        47  2.548701465E-01  2.890313566E-01 -1.811410785E-01 -1.210907053E-01 -2.653607525E-01  2.659553647E-01  3.976452311E-01 -1.440663295E+00 -1.811410785E-01  2.890313566E-01  2.548701465E-01 
        48  2.551291883E-01  2.889624536E-01 -1.811297685E-01 -5.731317408E-02 -1.440126556E-01  1.137826996E-01  1.959756348E-01 -9.121058907E-01 -1.811297685E-01  2.889624536E-01  2.551291883E-01 
        49  2.544563115E-01  2.892095447E-01 -1.811271459E-01 -4.097571104E-02 -4.401561945E-01  3.128281999E-01  5.530660891E-01 -6.547477612E-01 -1.811271459E-01  2.892095447E-01  2.544563115E-01 
        50  2.554972768E-01  2.889088094E-01 -1.811258197E-01 -4.256551229E-02 -4.801847153E-02 -5.762799992E-02  9.484678730E-02 -1.269309620E-01 -1.811258197E-01  2.889088094E-01  2.554972768E-01 
        51  2.540982664E-01  2.895060182E-01 -1.811010540E-01  1.914273346E-02 -2.556727343E-01  7.861131315E-02  2.770781830E-01  4.351840831E-01 -1.811010540E-01  2.895060182E-01  2.540982664E-01 
        52  2.544872165E-01  2.888104618E-01 -1.810965985E-01 -6.713462337E-02 -3.146119872E-01  2.439183578E-01  4.176607413E-01 -1.046209055E+00 -1.810965985E-01  2.888104618E-01  2.544872165E-01 
        53  2.544315457E-01  2.875081003E-01 -1.810851544E-01 -6.646567326E-04 -6.681258168E-05  9.377905848E-05  2.074686070E-03  2.015797051E-03 -1.810851544E-01  2.875081003E-01  2.544315457E-01 
        54  2.546460629E-01  2.890267670E-01 -1.810784191E-01 -8.324898255E-02 -4.079028247E-01  3.862817674E-01  5.930806337E-01 -1.268565540E+00 -1.810784191E-01  2.890267670E-01  2.546460629E-01 
        55  2.544156909E-01  2.872734070E-01 -1.810772866E-01 -7.666696375E-04 -1.037900250E-03  3.280844189E-05  1.299841229E-03 -3.222653441E-04 -1.810772866E-01  2.872734070E-01  2.544156909E-01 
        56  2.544465363E-01  2.878297865E-01 -1.810692698E-01  1.426323656E-02  2.707078080E-02 -1.665576492E-03  3.115056094E-02 -6.434918748E-02 -1.810692698E-01  2.878297865E-01  2.544465363E-01 
        57  2.528588772E-01  2.916477621E-01 -1.810654253E-01  6.539841157E-03 -4.588447293E-02 -2.843116096E-02  5.717043345E-02  1.199059766E+01 -1.810654253E-01  2.916477621E-01  2.528588772E-01 
        58  2.544272840E-01  2.895813286E-01 -1.810617298E-01 -4.626152967E-02 -5.773654907E-01  2.998757652E-01  6.643533639E-01  5.927566489E-02 -1.810617298E-01  2.895813286E-01  2.544272840E-01 
        59  2.546297014E-01  2.894097865E-01 -1.810604632E-01 -4.376948851E-02 -5.374580268E-01  4.958019646E-01  7.376560657E-01 -9.829359763E-01 -1.810604632E-01  2.894097865E-01  2.546297014E-01 
        60  2.545078993E-01  2.882944047E-01 -1.810592413E-01 -2.084006882E-02  1.532961256E-02  1.923263513E-02  4.594405430E-02 -4.794270814E-01 -1.810592413E-01  2.882944047E-01  2.545078993E-01 
        61  2.548131645E-01  2.892543077E-01 -1.810593009E-01 -3.813957738E-02 -4.140349474E-01  4.711200925E-01  6.450456922E-01 -1.588218316E+00 -1.810593009E-01  2.892543077E-01  2.548131645E-01 
        62  2.542588711E-01  2.896898091E-01 -1.810553968E-01 -6.675530729E-02 -3.973794528E-01  8.920182319E-02  4.168774112E-01  5.751356145E-01 -1.810553968E-01  2.896898091E-01  2.542588711E-01 
        63  2.550642192E-01  2.891792953E-01 -1.810516566E-01 -5.432128326E-02 -1.543172683E-01  2.329722043E-01  2.867972828E-01 -1.595287313E+00 -1.810516566E-01  2.891792953E-01  2.550642192E-01 
        64  2.541165948E-01  2.893153131E-01 -1.810498387E-01  8.178251425E-02 -3.346476084E-01  2.068070904E-01  4.062551554E-01  3.108622191E-01 -1.810498387E-01  2.893153131E-01  2.541165948E-01 
        65  2.540723085E-01  2.898099720E-01 -1.810483634E-01 -4.961375841E-02 -2.657971220E-01 -1.642278145E-02  2.730601364E-01  4.097563439E-01 -1.810483634E-01  2.898099720E-01  2.540723085E-01 
        66  2.542822957E-01  2.890154421E-01 -1.810467839E-01 -2.615823354E-02 -3.584824547E-01  2.559962121E-01  4.423345561E-01 -6.141140188E-01 -1.810467839E-01  2.890154421E-01  2.542822957E-01 
        67  2.527476847E-01  2.916644216E-01 -1.810454726E-01  6.584260330E-03 -4.639960402E-02 -2.662763461E-02  5.757167116E-02  1.183373076E+01 -1.810454726E-01  2.916644216E-01  2.527476847E-01 
        68  2.552753389E-01  2.891162038E-01 -1.810452491E-01 -4.094257112E-02 -6.806430819E-02  3.899911977E-02  1.030296442E-01 -8.620112096E-01 -1.810452491E-01  2.891162038E-01  2.552753389E-01 
        69  2.542755306E-01  2.893691659E-01 -1.810352355E-01  6.153290093E-04 -4.458294932E-01  2.492957056E-01  5.364178031E-01  1.386454371E-02 -1.810352355E-01  2.893691659E-01  2.542755306E-01 
        70  2.554219663E-01  2.890813053E-01 -1.810348481E-01 -3.537247483E-02 -2.825370650E-02 -4.646319586E-02  7.858064099E-02 -4.046033390E-01 -1.810348481E-01  2.890813053E-01  2.554219663E-01 
        71  2.528173923E-01  2.918572426E-01 -1.810327172E-01 -1.507663627E-02 -3.043033578E-02 -1.694492736E-02  4.298341992E-02  1.181445075E+01 -1.810327172E-01  2.918572426E-01  2.528173923E-01 
        72  2.527754903E-01  2.915428579E-01 -1.810323894E-01  2.753847094E-02 -8.926159938E-02 -2.312978216E-02  9.944611185E-02  1.190921775E+01 -1.810323894E-01  2.915428579E-01  2.527754903E-01 
        73  2.529416680E-01  2.917454839E-01 -1.810307801E-01 -8.081190095E-03 -2.387398742E-02 -1.994678664E-02  3.334633894E-02  1.202500073E+01 -1.810307801E-01  2.917454839E-01  2.529416680E-01 
        74  2.543983757E-01  2.897734344E-01 -1.810277551E-01 -5.618245344E-02 -5.106219168E-01  1.490602559E-01  5.399638111E-01  6.546584194E-01 -1.810277551E-01  2.897734344E-01  2.543983757E-01 
        75  2.527180612E-01  2.917783558E-01 -1.810265481E-01  5.043736278E-04 -3.552267477E-02 -3.619953326E-02  5.274093109E-02  1.172610753E+01 -1.810265481E-01  2.917783558E-01  2.527180612E-01 
        76  2.555819154E-01  2.890432179E-01 -1.810235083E-01 -1.726582392E-02  1.218237279E-02 -1.061216585E-01  1.101142862E-01 -8.884118909E-02 -1.810235083E-01  2.890432179E-01  2.555819154E-01 
        77  2.529049814E-01  2.915302813E-01 -1.810206473E-01  3.754862006E-02 -1.142626160E-01 -1.424706497E-04  1.229065122E-01  1.208327399E+01 -1.810206473E-01  2.915302813E-01  2.529049814E-01 
        78  2.526021004E-01  2.916862369E-01 -1.810193360E-01  8.262192320E-03 -7.051026317E-02 -2.034407128E-02  7.728478579E-02  1.163381388E+01 -1.810193360E-01  2.916862369E-01  2.526021004E-01 
        79  2.542286515E-01  2.898943722E-01 -1.810191572E-01 -8.350486326E-02 -3.794332637E-01  1.799687840E-02  3.911239864E-01  6.459728000E-01 -1.810191572E-01  2.898943722E-01  2.542286515E-01 
        80  2.530651689E-01  2.916453481E-01 -1.810138971E-01  1.323405073E-02 -5.800714323E-02  3.365182669E-03  6.315618568E-02  1.219432351E+01 -1.810138971E-01  2.916453481E-01  2.530651689E-01 
        81  2.544133663E-01  2.873643935E-01 -1.810137630E-01 -1.558382480E-03 -1.715899302E-03  1.124664052E-04  2.398719317E-03  9.117416236E-04 -1.810137630E-01  2.873643935E-01  2.544133663E-01 
        82  2.539556921E-01  2.896473408E-01 -1.810137480E-01 -2.252345383E-02 -1.883291965E-01 -7.773984932E-03  1.908406465E-01  2.905953800E-01 -1.810137480E-01  2.896473408E-01  2.539556921E-01 
        83  2.541308701E-01  2.891668975E-01 -1.810099781E-01  1.376897458E-02 -3.644299823E-01  2.623995340E-01  4.626861748E-01 -9.059286493E-02 -1.810099781E-01  2.891668975E-01  2.541308701E-01 
        84  2.543963790E-01  2.871606648E-01 -1.810043007E-01 -8.394901394E-04 -1.150198055E-03  2.970860716E-05  1.433420609E-03 -1.676917774E-04 -1.810043007E-01  2.871606648E-01  2.543963790E-01 
