nodenumber     x-coordinate     y-coordinate     z-coordinate velocity-magnitude       z-velocity       y-velocity       x-velocity         pressure     z-coordinate     y-coordinate     x-coordinate 
         1  2.547175288E-01  2.876706123E-01 -1.816828549E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.019702637E-03 -1.816828549E-01  2.876706123E-01  2.547175288E-01 
         2  2.547239953E-01  2.876808811E-01 -1.816538257E-01  3.143825008E-05 -1.456403117E-05 -2.524415314E-05  4.200481062E-06  0.000000000E+00 -1.816538257E-01  2.876808811E-01  2.547239953E-01 
         3  2.548512220E-01  2.878829241E-01 -1.816360205E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.234137146E-03 -1.816360205E-01  2.878829241E-01  2.548512220E-01 
         4  2.546454668E-01  2.875562012E-01 -1.816323549E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.177349920E-05 -1.816323549E-01  2.875562012E-01  2.546454668E-01 
         5  2.547299609E-01  2.876903552E-01 -1.816190455E-01  6.737115123E-05 -3.466783203E-05 -5.242752558E-05  1.437548169E-05  0.000000000E+00 -1.816190455E-01  2.876903552E-01  2.547299609E-01 
         6  2.546497476E-01  2.875629991E-01 -1.816143952E-01  5.737398432E-06 -4.585035424E-06 -2.796316318E-06  1.467222928E-06  0.000000000E+00 -1.816143952E-01  2.875629991E-01  2.546497476E-01 
         7  2.548585783E-01  2.878946088E-01 -1.815974118E-01  1.856302546E-04 -3.096248631E-05 -1.561586938E-04 -7.571439772E-05 -2.463026607E-05 -1.815974118E-01  2.878946088E-01  2.548585783E-01 
         8  2.546537381E-01  2.875693353E-01 -1.815932422E-01  1.325042821E-05 -1.052665695E-05 -6.743386614E-06  3.408808310E-06  0.000000000E+00 -1.815932422E-01  2.875693353E-01  2.546537381E-01 
         9  2.545785308E-01  2.874499261E-01 -1.815854460E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.141357880E-05 -1.815854460E-01  2.874499261E-01  2.545785308E-01 
        10  2.545802209E-01  2.874526072E-01 -1.815786862E-01  8.874116997E-07 -5.073173031E-07 -7.039312879E-07  1.477419785E-08  0.000000000E+00 -1.815786862E-01  2.874526072E-01  2.545802209E-01 
        11  2.547341934E-01  2.876970787E-01 -1.815760745E-01  1.232370385E-04 -7.785146704E-05 -9.065071922E-05  1.526943882E-05  0.000000000E+00 -1.815760745E-01  2.876970787E-01  2.547341934E-01 
        12  2.546952367E-01  2.877734601E-01 -1.815741956E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  4.023516605E-06 -1.815741956E-01  2.877734601E-01  2.546952367E-01 
        13  2.545819110E-01  2.874552882E-01 -1.815719263E-01  2.050254384E-06 -1.224501206E-06 -1.610042696E-06  1.132699666E-07  0.000000000E+00 -1.815719263E-01  2.874552882E-01  2.545819110E-01 
        14  2.546566119E-01  2.875738969E-01 -1.815667280E-01  2.259517704E-05 -1.625683844E-05 -1.392866745E-05  5.524642540E-06  0.000000000E+00 -1.815667280E-01  2.875738969E-01  2.546566119E-01 
        15  2.545836012E-01  2.874579693E-01 -1.815651665E-01  6.393632921E-06 -3.589370472E-06 -5.207621875E-06  7.798053300E-07  0.000000000E+00 -1.815651665E-01  2.874579693E-01  2.545836012E-01 
        16  2.545055747E-01  2.873340249E-01 -1.815646887E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.993635436E-06 -1.815646887E-01  2.873340249E-01  2.545055747E-01 
        17  2.546342313E-01  2.876330912E-01 -1.815607548E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.241329680E-04 -1.815607548E-01  2.876330912E-01  2.546342313E-01 
        18  2.545076724E-01  2.873373583E-01 -1.815583461E-01  2.168260342E-07 -1.360884980E-07 -1.540105045E-07  2.326691237E-09  0.000000000E+00 -1.815583461E-01  2.873373583E-01  2.545076724E-01 
        19  2.545097700E-01  2.873406916E-01 -1.815520035E-01  4.411647670E-07 -2.752454126E-07 -3.215899329E-07  4.364365315E-09  0.000000000E+00 -1.815520035E-01  2.873406916E-01  2.545097700E-01 
        20  2.548652677E-01  2.879052349E-01 -1.815509511E-01  4.276754534E-04 -1.373928224E-04 -3.215270632E-04 -2.015158003E-04 -1.364644689E-04 -1.815509511E-01  2.879052349E-01  2.548652677E-01 
        21  2.549690902E-01  2.880701125E-01 -1.815471649E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  2.166573832E-02 -1.815471649E-01  2.880701125E-01  2.549690902E-01 
        22  2.545118677E-01  2.873440250E-01 -1.815456609E-01  1.030664153E-06 -6.320535208E-07 -7.806966588E-07  7.801267227E-08  0.000000000E+00 -1.815456609E-01  2.873440250E-01  2.545118677E-01 
        23  2.545777857E-01  2.875143886E-01 -1.815407425E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.715648861E-05 -1.815407425E-01  2.875143886E-01  2.545777857E-01 
        24  2.545290291E-01  2.874064445E-01 -1.815271378E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -3.092790517E-05 -1.815271378E-01  2.874064445E-01  2.545290291E-01 
        25  2.544733286E-01  2.872828245E-01 -1.815232784E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -4.770834181E-06 -1.815232784E-01  2.872828245E-01  2.544733286E-01 
        26  2.544754321E-01  2.872861663E-01 -1.815199659E-01  1.769432531E-07 -7.505929999E-08 -1.590000371E-07 -1.705478027E-08  0.000000000E+00 -1.815199659E-01  2.872861663E-01  2.544754321E-01 
        27  2.544775357E-01  2.872895080E-01 -1.815166534E-01  3.627987696E-07 -1.618937503E-07 -3.221486162E-07 -2.986717326E-08  0.000000000E+00 -1.815166534E-01  2.872895080E-01  2.544775357E-01 
        28  2.544796393E-01  2.872928497E-01 -1.815133409E-01  8.319029511E-07 -4.097823195E-07 -7.209381364E-07 -9.984613848E-09  0.000000000E+00 -1.815133409E-01  2.872928497E-01  2.544796393E-01 
        29  2.549754688E-01  2.880802393E-01 -1.815061057E-01  7.701871143E-04 -5.115322082E-04 -1.661941115E-04  2.628311479E-04 -3.007963405E-05 -1.815061057E-01  2.880802393E-01  2.549754688E-01 
        30  2.548699107E-01  2.879126119E-01 -1.814949622E-01  7.898402807E-04 -4.201266150E-04 -6.001987565E-04 -2.049721803E-04 -1.134529011E-04 -1.814949622E-01  2.879126119E-01  2.548699107E-01 
        31  2.546233553E-01  2.875210697E-01 -1.814925050E-01  1.464762924E-05 -8.025230053E-06 -1.208381150E-05  1.792072674E-06  0.000000000E+00 -1.814925050E-01  2.875210697E-01  2.546233553E-01 
        32  2.546656516E-01  2.875882610E-01 -1.814771489E-01  3.900812285E-05 -2.431682183E-05 -2.701780761E-05  1.125265172E-05  0.000000000E+00 -1.814771489E-01  2.875882610E-01  2.546656516E-01 
        33  2.544800043E-01  2.873633802E-01 -1.814693660E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.038125096E-05 -1.814693660E-01  2.873633802E-01  2.544800043E-01 
        34  2.545178235E-01  2.874630094E-01 -1.814692020E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.169609623E-04 -1.814692020E-01  2.874630094E-01  2.545178235E-01 
        35  2.545597255E-01  2.875734568E-01 -1.814690083E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  5.719889510E-05 -1.814690083E-01  2.875734568E-01  2.545597255E-01 
        36  2.546109259E-01  2.877084315E-01 -1.814687997E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.770188090E-04 -1.814687997E-01  2.877084315E-01  2.546109259E-01 
        37  2.546735406E-01  2.878735065E-01 -1.814685166E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  6.263295813E-04 -1.814685166E-01  2.878735065E-01  2.546735406E-01 
        38  2.548077404E-01  2.879965901E-01 -1.814668328E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -1.354239702E-02 -1.814668328E-01  2.879965901E-01  2.548077404E-01 
        39  2.549477816E-01  2.881250679E-01 -1.814650744E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00  9.413673712E-03 -1.814650744E-01  2.881250679E-01  2.549477816E-01 
        40  2.550802231E-01  2.882465422E-01 -1.814634055E-01  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00 -2.844892611E-02 -1.814634055E-01  2.882465422E-01  2.550802231E-01 
        41  2.545317279E-01  2.873755836E-01 -1.814596287E-01  5.977922516E-06 -3.506263699E-06 -4.650017276E-06  1.247145403E-06  0.000000000E+00 -1.814596287E-01  2.873755836E-01  2.545317279E-01 
        42  2.549808627E-01  2.880888032E-01 -1.814583235E-01  1.619074635E-03 -1.159068541E-03 -5.101242003E-04  4.086694954E-04 -1.505288462E-04 -1.814583235E-01  2.880888032E-01  2.549808627E-01 
